scheme_code,name,units,purchase_nav,purchase_date
102414,SBI Contra Reg-G,58.73,340.52,2025-03-03
102414,SBI Contra Reg-G,27.93,357.99,2025-01-28
102414,SBI Contra Reg-G,26.25,380.91,2024-11-11
102414,SBI Contra Reg-G,25.41,393.51,2024-10-09
102414,SBI Contra Reg-G,25.42,393.35,2024-09-09
102414,SBI Contra Reg-G,25.85,386.86,2024-08-09
102414,SBI Contra Reg-G,26.02,384.38,2024-07-09
102414,SBI Contra Reg-G,27.51,363.53,2024-06-10
102414,SBI Contra Reg-G,29.21,342.31,2024-05-09
102414,SBI Contra Reg-G,28.77,347.57,2024-04-09
102414,SBI Contra Reg-G,29.59,337.94,2024-03-11
102414,SBI Contra Reg-G,30.09,332.36,2024-02-09
102414,SBI Contra Reg-G,31.39,318.55,2024-01-09
102414,SBI Contra Reg-G,32.85,304.38,2023-12-11
102414,SBI Contra Reg-G,35.97,278.00,2023-11-06
102414,SBI Contra Reg-G,35.90,278.57,2023-10-06
102414,SBI Contra Reg-G,35.94,278.21,2023-09-06
102414,SBI Contra Reg-G,37.25,268.45,2023-08-07
102414,SBI Contra Reg-G,38.34,260.78,2023-07-06
102414,SBI Contra Reg-G,40.63,246.09,2023-06-06
102414,SBI Contra Reg-G,41.95,238.39,2023-05-08
102414,SBI Contra Reg-G,43.68,228.91,2023-04-06
102414,SBI Contra Reg-G,43.44,230.21,2023-03-06
102414,SBI Contra Reg-G,44.41,225.14,2023-02-06
102414,SBI Contra Reg-G,43.93,227.61,2023-01-06
102414,SBI Contra Reg-G,42.69,234.23,2022-12-06
102414,SBI Contra Reg-G,88.13,170.20,2025-03-03
102414,SBI Contra Reg-G,85.62,175.19,2025-01-28
102414,SBI Contra Reg-G,88.14,170.19,2024-11-11
102414,SBI Contra Reg-G,87.78,170.87,2024-10-09
102414,SBI Contra Reg-G,88.07,170.31,2024-09-09
102414,SBI Contra Reg-G,85.68,175.07,2024-08-09
102414,SBI Contra Reg-G,95.82,104.36,2024-07-09
102414,SBI Contra Reg-G,98.80,101.21,2024-06-10
102414,SBI Contra Reg-G,104.81,95.41,2024-05-09
102414,SBI Contra Reg-G,97.13,102.95,2024-04-09
102414,SBI Contra Reg-G,97.77,102.28,2024-03-11
102414,SBI Contra Reg-G,94.40,105.92,2024-02-09
102414,SBI Contra Reg-G,98.49,101.53,2024-01-09
102414,SBI Contra Reg-G,100.62,99.38,2023-12-11
102414,SBI Contra Reg-G,108.96,91.77,2023-11-06
102414,SBI Contra Reg-G,105.39,94.88,2023-10-06
102414,SBI Contra Reg-G,110.18,90.75,2023-09-06
102414,SBI Contra Reg-G,114.37,87.43,2023-08-07
102414,SBI Contra Reg-G,193.62,51.65,2023-07-06
102414,SBI Contra Reg-G,207.13,48.28,2023-06-06
102414,SBI Contra Reg-G,209.59,47.71,2023-05-08
102414,SBI Contra Reg-G,194.26,51.48,2023-04-06
102414,SBI Contra Reg-G,189.16,52.86,2023-03-06
102414,SBI Contra Reg-G,660.79,30.27,2023-02-06
102414,SBI Contra Reg-G,577.73,34.62,2023-01-06
102414,SBI Contra Reg-G,637.79,31.36,2022-12-06
101762,HDFC Flexi Cap Reg-G,4.82,"2074.13",2025-11-03
101762,HDFC Flexi Cap Reg-G,4.95,"2019.93",2025-10-01
101762,HDFC Flexi Cap Reg-G,5.04,"1986.13",2025-09-01
101762,HDFC Flexi Cap Reg-G,5.12,"1953.64",2025-08-01
101762,HDFC Flexi Cap Reg-G,5.00,"1998.68",2025-07-01
105758,HDFC Mid Cap Reg-G,253.19,197.47,2025-07-07
100354,ICICI Pru ELSS Tax Saver-G,8.45,591.55,2022-08-10
100354,ICICI Pru ELSS Tax Saver-G,8.51,587.60,2022-08-05
100354,ICICI Pru ELSS Tax Saver-G,9.25,540.75,2022-07-05
100354,ICICI Pru ELSS Tax Saver-G,9.00,555.29,2022-06-06
100354,ICICI Pru ELSS Tax Saver-G,8.89,562.72,2022-05-05
100354,ICICI Pru ELSS Tax Saver-G,8.21,608.94,2022-04-05
100354,ICICI Pru ELSS Tax Saver-G,9.22,542.04,2022-03-07
100354,ICICI Pru ELSS Tax Saver-G,8.46,591.32,2022-02-07
100354,ICICI Pru ELSS Tax Saver-G,8.20,609.76,2022-01-05
100354,ICICI Pru ELSS Tax Saver-G,8.66,577.63,2021-12-06
100354,ICICI Pru ELSS Tax Saver-G,8.05,620.75,2021-11-08
100354,ICICI Pru ELSS Tax Saver-G,8.26,605.61,2021-10-05
100354,ICICI Pru ELSS Tax Saver-G,8.57,583.45,2021-09-06
100354,ICICI Pru ELSS Tax Saver-G,8.99,556.11,2021-08-05
100354,ICICI Pru ELSS Tax Saver-G,19.13,522.63,2021-07-01
100354,ICICI Pru ELSS Tax Saver-G,19.55,511.53,2021-06-01
100354,ICICI Pru ELSS Tax Saver-G,20.75,481.92,2021-05-03
100354,ICICI Pru ELSS Tax Saver-G,20.83,480.10,2021-04-05
100354,ICICI Pru ELSS Tax Saver-G,20.66,484.09,2021-03-01
100354,ICICI Pru ELSS Tax Saver-G,21.82,458.37,2021-02-01
100354,ICICI Pru ELSS Tax Saver-G,22.37,447.03,2021-01-01
100354,ICICI Pru ELSS Tax Saver-G,23.97,417.10,2020-12-01
100354,ICICI Pru ELSS Tax Saver-G,27.08,369.29,2020-11-02
100354,ICICI Pru ELSS Tax Saver-G,27.93,358.06,2020-10-01
100354,ICICI Pru ELSS Tax Saver-G,27.07,369.34,2020-09-01
100354,ICICI Pru ELSS Tax Saver-G,28.83,346.88,2020-08-03
100354,ICICI Pru ELSS Tax Saver-G,29.79,335.70,2020-07-01
100354,ICICI Pru ELSS Tax Saver-G,31.26,319.91,2020-06-01
100354,ICICI Pru ELSS Tax Saver-G,33.14,301.80,2020-05-04
100354,ICICI Pru ELSS Tax Saver-G,37.54,266.41,2020-04-01
100354,ICICI Pru ELSS Tax Saver-G,27.79,359.80,2020-03-02
100354,ICICI Pru ELSS Tax Saver-G,26.27,380.61,2020-02-03
100354,ICICI Pru ELSS Tax Saver-G,25.44,393.04,2020-01-01
100354,ICICI Pru ELSS Tax Saver-G,25.85,386.92,2019-12-02
100354,ICICI Pru ELSS Tax Saver-G,26.02,384.39,2019-11-01
100354,ICICI Pru ELSS Tax Saver-G,27.81,359.63,2019-10-01
100354,ICICI Pru ELSS Tax Saver-G,28.92,345.75,2019-09-03
100354,ICICI Pru ELSS Tax Saver-G,27.90,358.39,2019-08-01
100354,ICICI Pru ELSS Tax Saver-G,25.74,388.56,2019-07-01
100354,ICICI Pru ELSS Tax Saver-G,25.61,390.44,2019-06-03
100354,ICICI Pru ELSS Tax Saver-G,14.31,349.50,2019-01-25
100354,ICICI Pru ELSS Tax Saver-G,13.61,367.45,2018-09-25
100354,ICICI Pru ELSS Tax Saver-G,13.04,383.49,2018-08-27
100354,ICICI Pru ELSS Tax Saver-G,19.13,261.37,2015-06-04
112090,Kotak Flexicap Reg-G,181.55,55.08,2022-09-15
112090,Kotak Flexicap Reg-G,186.10,53.73,2022-08-16
112090,Kotak Flexicap Reg-G,206.78,48.36,2022-07-15
112090,Kotak Flexicap Reg-G,212.94,46.96,2022-06-15
112090,Kotak Flexicap Reg-G,211.01,47.39,2022-05-16
112090,Kotak Flexicap Reg-G,192.03,52.07,2022-04-18
112090,Kotak Flexicap Reg-G,202.48,49.39,2022-03-15
112090,Kotak Flexicap Reg-G,190.90,52.38,2022-02-15
112090,Kotak Flexicap Reg-G,180.02,55.55,2022-01-17
112090,Kotak Flexicap Reg-G,192.41,51.97,2021-12-15
112090,Kotak Flexicap Reg-G,183.14,54.60,2021-11-15
112090,Kotak Flexicap Reg-G,181.79,55.01,2021-10-18
112090,Kotak Flexicap Reg-G,336.69,29.70,2020-05-28
112090,Kotak Flexicap Reg-G,340.98,29.33,2020-04-28
112090,Kotak Flexicap Reg-G,383.57,26.07,2020-03-30
112090,Kotak Flexicap Reg-G,280.48,35.65,2020-02-28
112090,Kotak Flexicap Reg-G,261.35,38.26,2020-01-28
112090,Kotak Flexicap Reg-G,266.31,37.55,2019-12-30
112090,Kotak Flexicap Reg-G,266.90,37.47,2019-11-28
112090,Kotak Flexicap Reg-G,275.28,36.33,2019-10-29
112090,Kotak Flexicap Reg-G,226.04,30.97,2018-10-05
112090,Kotak Flexicap Reg-G,144.03,34.71,2018-09-05
112090,Kotak Flexicap Reg-G,143.33,34.88,2018-08-06
112090,Kotak Flexicap Reg-G,188.23,32.94,2018-07-05
112090,Kotak Flexicap Reg-G,190.81,32.49,2018-06-05
112090,Kotak Flexicap Reg-G,151.06,33.10,2018-05-07
112090,Kotak Flexicap Reg-G,202.36,32.62,2018-04-05
112090,Kotak Flexicap Reg-G,210.60,32.29,2018-03-05
112090,Kotak Flexicap Reg-G,167.17,32.90,2018-02-05
112090,Kotak Flexicap Reg-G,159.94,33.76,2018-01-05
112090,Kotak Flexicap Reg-G,176.12,32.36,2017-12-05
112090,Kotak Flexicap Reg-G,168.83,33.17,2017-11-06
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,507.15,19.72,2020-12-28
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,532.63,18.77,2020-11-25
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,556.75,17.96,2020-10-26
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,582.26,17.17,2020-09-25
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,549.59,18.19,2020-08-25
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,600.39,16.66,2020-07-27
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,625.77,15.98,2020-06-25
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,698.87,14.31,2020-04-27
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,660.79,30.27,2024-08-05
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,577.73,34.62,2024-07-05
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,637.79,31.36,2024-06-05
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,657.52,30.42,2024-05-06
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,324.47,30.82,2024-04-03
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,324.09,30.85,2024-03-04
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,337.26,29.65,2024-02-05
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,354.23,28.23,2024-01-03
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,368.36,27.15,2023-12-04
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,395.56,25.28,2023-11-03
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,397.98,25.13,2023-10-03
145551,Motilal Oswal Nasdaq 100 FOF Reg-G,382.53,26.14,2023-09-04
